,game_day,home_team,away_team,match_id,period_id,time_seconds,start_x,start_y,end_x,end_y,original_event_id,type,bodypart,result,team,player
295674,15,Arsenal,Manchester United,eng_ARS_MUN_1718,1,602.268,37.8,2.04,48.3,1.36,211065346,pass,foot,success,Arsenal,L. Koscielny
295675,15,Arsenal,Manchester United,eng_ARS_MUN_1718,1,605.325,48.3,1.36,59.85,11.56,211065348,pass,foot,success,Arsenal,Bellerín
295677,15,Arsenal,Manchester United,eng_ARS_MUN_1718,1,608.586,48.3,12.24,34.65,17.68,211065350,pass,foot,success,Arsenal,A. Lacazette
295678,15,Arsenal,Manchester United,eng_ARS_MUN_1718,1,611.176,34.65,17.68,23.1,42.16,211065352,pass,foot,success,Arsenal,G. Xhaka
295679,15,Arsenal,Manchester United,eng_ARS_MUN_1718,1,615.445,23.1,42.16,27.3,39.44,211065354,pass,foot,success,Arsenal,S. Mustafi
295705,15,Arsenal,Manchester United,eng_ARS_MUN_1718,1,815.589,98.7,57.12,74.55,51.68,211065357,pass,foot,fail,Manchester United,A. Valencia
295709,15,Arsenal,Manchester United,eng_ARS_MUN_1718,1,823.322,85.05,47.6,77.7,42.16,211065358,interception,foot,success,Manchester United,J. Lingard
295717,15,Arsenal,Manchester United,eng_ARS_MUN_1718,1,845.014,94.5,40.12,94.5,31.28,211065364,clearance,foot,success,Manchester United,N. Matić
295718,15,Arsenal,Manchester United,eng_ARS_MUN_1718,1,848.253,94.5,31.28,79.8,31.28,211065366,pass,head,success,Manchester United,N. Matić
295719,15,Arsenal,Manchester United,eng_ARS_MUN_1718,1,849.654,79.8,31.28,70.35,33.32,211065367,pass,foot,success,Manchester United,J. Lingard
